sr_no,answer
1,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
2,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
3,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
4,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
5,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
6,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
7,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
8,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
9,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
10,"Tourism is the act of moving from one place to another for tourist attractions.Tourism has contributed to revenue in our country,this is in form of foreign exhange and this has lead to the development of infrastracures like schools and hospitals.Creation of international relatioship which can provide support to our country.Through constraction of hotels and lodges,there is improves urbanisation like towns.Rebels enter uganda through tourist which lead to loss of people through bomb blasts.Tourists stay in uganda has caused intermarrages"
