sr_no,answer
1,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
2,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
3,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
4,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
5,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
6,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
7,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
8,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
9,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
10,"what people in the community should do to help the environment People should plant trees in order to replace the ones which are cut everyday for example in my community people cut trees for charcoal burnig People should handle plastic materials with care and this can be done by taking them back for recycling and every day people after taking drinks they just throw plastics unbothered People should also avoid carrying outactivities like bush burning, over cultivation and overgrazing because those activities spoil soil and they can be solvaed by laeving the soil for some time before using it Also the local government should put strict laws on people who carry out bad lactices such as bush burnig, swamp drainage so that the encironment can be protected The local govrnment should carry out sensitisation on the local people about the dangers of practices like difforestation which affect the environment Local people should cooperate with the local government so that all fight together for environmental protec"
