sr_no,answer
1,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
2,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
3,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
4,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
5,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
6,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
7,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
8,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
9,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
10,"these changes have been caused by imorovement in technology, change in edication and the growth of globalizatioo . as a result, the way people work, the kind of kobs available and the skills needed have all changed significantely in the past most people worked in agriculture farming ann manual labor Today technology has transformed the workplace. machnes and computers now do many tasks that people used to do by hand In the past many jibs didnt require formal education"
